iter	Passed	Remaining
925	6985	558
926	6992	550
927	6999	543
928	7007	535
929	7014	527
930	7022	520
931	7028	512
932	7036	505
933	7043	497
934	7051	490
935	7059	482
936	7066	475
937	7073	467
938	7079	459
939	7088	452
940	7095	444
941	7103	437
942	7112	429
943	7120	422
944	7127	414
945	7135	407
946	7142	399
947	7150	392
948	7157	384
949	7165	377
950	7172	369
951	7178	361
952	7187	354
953	7194	346
954	7202	339
955	7208	331
956	7216	324
957	7223	316
958	7232	309
959	7238	301
960	7246	294
961	7254	286
962	7261	278
963	7269	271
964	7278	263
965	7287	256
966	7294	248
967	7302	241
968	7309	233
969	7316	226
970	7324	218
971	7332	211
972	7339	203
973	7347	196
974	7354	188
975	7361	181
976	7367	173
977	7374	165
978	7382	158
979	7389	150
980	7398	143
981	7405	135
982	7413	128
983	7420	120
984	7428	113
985	7435	105
986	7442	98
987	7450	90
988	7457	82
989	7465	75
990	7472	67
991	7480	60
992	7487	52
993	7496	45
994	7502	37
995	7512	30
996	7519	22
997	7527	15
998	7533	7
999	7540	0
